"node","Class","true_name","Degree"
"BASOS._ABS","Blood test","BASOS._ABS","8"
"exposome_genus_Capronia","Exposome (biological)","Capronia","1"
"exposome_genus_Kalmanozyma","Exposome (biological)","Kalmanozyma","1"
"exposome_genus_Muricauda","Exposome (biological)","Muricauda","1"
"exposome_genus_Pseudobacteroides","Exposome (biological)","Pseudobacteroides","1"
"exposome_genus_Rothia","Exposome (biological)","Rothia","1"
