"node","Class","true_name","Degree"
"Creatinine._Ser.Plas","Blood test","Creatinine._Ser.Plas","62"
"Hemoglobin","Blood test","Hemoglobin","18"
"RBC","Blood test","RBC","18"
"AST_.SGOT.._Ser.Plas","Blood test","AST_.SGOT.._Ser.Plas","5"
"ALT_.SGPT.._Ser.Plas","Blood test","ALT_.SGPT.._Ser.Plas","5"
"exposome_genus_Acidomyces","Exposome (biological)","Acidomyces","1"
"exposome_genus_Actinoplanes","Exposome (biological)","Actinoplanes","3"
"exposome_genus_Alkanindiges","Exposome (biological)","Alkanindiges","2"
"exposome_genus_Arthrobacter","Exposome (biological)","Arthrobacter","1"
"exposome_genus_Cryomyces","Exposome (biological)","Cryomyces","1"
"exposome_genus_Cyphellophora","Exposome (biological)","Cyphellophora","1"
"exposome_genus_Dendrobium","Exposome (biological)","Dendrobium","1"
"exposome_genus_Desmospora","Exposome (biological)","Desmospora","1"
"exposome_genus_Dioszegia","Exposome (biological)","Dioszegia","2"
"exposome_genus_Endocarpon","Exposome (biological)","Endocarpon","1"
"exposome_genus_Gossypium","Exposome (biological)","Gossypium","1"
"exposome_genus_Graphilbum","Exposome (biological)","Graphilbum","1"
"exposome_genus_Helminthosporium","Exposome (biological)","Helminthosporium","3"
"exposome_genus_Hysterium","Exposome (biological)","Hysterium","3"
"exposome_genus_Juglans","Exposome (biological)","Juglans","5"
"exposome_genus_Klebsiella","Exposome (biological)","Klebsiella","1"
"exposome_genus_Lactobacillus","Exposome (biological)","Lactobacillus","1"
"exposome_genus_Lasallia","Exposome (biological)","Lasallia","1"
"exposome_genus_Legionella","Exposome (biological)","Legionella","44"
"exposome_genus_Leptographium","Exposome (biological)","Leptographium","3"
"exposome_genus_Leptosphaeria","Exposome (biological)","Leptosphaeria","3"
"exposome_genus_Magnaporthe","Exposome (biological)","Magnaporthe","3"
"exposome_genus_Magnaporthiopsis","Exposome (biological)","Magnaporthiopsis","1"
"exposome_genus_Myceliophthora","Exposome (biological)","Myceliophthora","1"
"exposome_genus_Necator","Exposome (biological)","Necator","1"
"exposome_genus_Neurospora","Exposome (biological)","Neurospora","1"
"exposome_genus_Phyllosticta","Exposome (biological)","Phyllosticta","3"
"exposome_genus_Populus","Exposome (biological)","Populus","1"
"exposome_genus_Pseudomonas","Exposome (biological)","Pseudomonas","3"
"exposome_genus_Pseudotsuga","Exposome (biological)","Pseudotsuga","54"
"exposome_genus_Puccinia","Exposome (biological)","Puccinia","3"
"exposome_genus_Pyrenochaeta","Exposome (biological)","Pyrenochaeta","55"
"exposome_genus_Reticulascus","Exposome (biological)","Reticulascus","2"
"exposome_genus_Vitis","Exposome (biological)","Vitis","3"
"exposome_genus_Xylona","Exposome (biological)","Xylona","1"
"exposome_genus_Cladosporium","Exposome (biological)","Cladosporium","1"
"exposome_genus_Dactylonectria","Exposome (biological)","Dactylonectria","2"
"exposome_genus_Gardnerella","Exposome (biological)","Gardnerella","2"
"exposome_genus_Triticum","Exposome (biological)","Triticum","1"
"PM2134","Exposome (chemical)","Benzo[a]pyrene","1"
"PM2187","Exposome (chemical)","Tetrachloronaphthalene","1"
"genus_Faecalibacterium","Gut microbiome","Faecalibacterium","29"
"family_Prevotellaceae","Gut microbiome","family_Prevotellaceae","17"
