"node","Class","true_name","Degree"
"exposome_genus_Calocera","Exposome (biological)","Calocera","18"
"exposome_genus_Canis","Exposome (biological)","Canis","18"
"exposome_genus_Ceraceosorus","Exposome (biological)","Ceraceosorus","18"
"exposome_genus_Chaetomium","Exposome (biological)","Chaetomium","18"
"exposome_genus_Eutypa","Exposome (biological)","Eutypa","18"
"exposome_genus_Geotrichum","Exposome (biological)","Geotrichum","20"
"exposome_genus_Cladonia","Exposome (biological)","Cladonia","18"
"nHILIC_253.0927_3.2","Metabolome","C9H18O8","8"
"nHILIC_151.0261_4.3","Metabolome","Xanthine","8"
"nHILIC_504.3095_5.8","Metabolome","LysoPE(20:2)","8"
"pRPLC_355.1265_6.4","Metabolome","C17H20N2O5","8"
"pRPLC_315.1341_7.8","Metabolome","C17H18N2O4(2)","8"
"pRPLC_369.2397_10.5","Metabolome","C20H28N6O","8"
"pRPLC_417.3348_10.5","Metabolome","C27H44O3(1)","8"
"nRPLC_204.0666_4.3","Metabolome","Cinnamoylglycine","8"
"nRPLC_433.3321_10.9","Metabolome","C27H46O4(4)","8"
"nRPLC_313.2386_9.1","Metabolome","""C18:0,DC FA(2)""","8"
"ORM1","Proteome","ORM1","8"
"C4BPA","Proteome","C4BPA","8"
"SERPINA6","Proteome","SERPINA6","8"
"SAA1","Proteome","SAA1","8"
"SERPINA4","Proteome","SERPINA4","8"
