"from","to","Correlation","p_value","fdr"
"NM1254","pHILIC_137.0457_3.1",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","pHILIC_104.0705_8.1",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","pHILIC_146.1175_11",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","pHILIC_276.1548_13.2",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_303.2327_1",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_230.0127_2.1",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_181.0367_6.8",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_132.0302_8.3",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_183.0294_2.1",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_281.089_2.2",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_165.0404_7.8",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_287.052_8.1",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_349.0752_8.5",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_275.0649_8.9",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_485.1492_3.9",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_257.0777_2.2",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nHILIC_137.0243_1",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","pRPLC_195.0875_4.6",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","pRPLC_302.2328_5.6",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","pRPLC_505.2774_9.3",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_213.1497_8.1",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_229.1445_7.4",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_165.0418_1.9",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_169.1234_8",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_215.1653_8.4",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_281.1394_9",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_409.3322_11.2",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_489.3582_11",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_507.3686_10.6",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_453.3221_10.1",-0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_295.2278_9.9",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_315.2541_9.4",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_267.1966_9.2",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_239.1653_8.5",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_267.1238_8.3",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_209.1184_8.2",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_213.1498_7.8",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_187.1339_7.1",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_411.127_3.6",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1254","nRPLC_203.002_1.9",0.974679434480896,0.00481823046819854,2.31711243043294
"NM1446","pHILIC_137.0457_3.1",1,0.0166666666666667,1.77815125038364
"NM1446","pHILIC_104.0705_8.1",-1,0.0166666666666667,1.77815125038364
"NM1446","pHILIC_146.1175_11",-1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_303.2327_1",1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_230.0127_2.1",-1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_181.0367_6.8",1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_132.0302_8.3",-1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_183.0294_2.1",1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_281.089_2.2",-1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_165.0404_7.8",-1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_287.052_8.1",-1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_349.0752_8.5",1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_275.0649_8.9",-1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_257.0777_2.2",-1,0.0166666666666667,1.77815125038364
"NM1446","nHILIC_137.0243_1",1,0.0166666666666667,1.77815125038364
"NM1446","pRPLC_195.0875_4.6",1,0.0166666666666667,1.77815125038364
"NM1446","pRPLC_302.2328_5.6",-1,0.0166666666666667,1.77815125038364
"NM1446","pRPLC_505.2774_9.3",1,0.0166666666666667,1.77815125038364
"NM1446","nRPLC_213.1497_8.1",-1,0.0166666666666667,1.77815125038364
"NM1446","nRPLC_229.1445_7.4",1,0.0166666666666667,1.77815125038364
"NM1446","nRPLC_165.0418_1.9",1,0.0166666666666667,1.77815125038364
"NM1446","nRPLC_169.1234_8",-1,0.0166666666666667,1.77815125038364
"NM1446","nRPLC_215.1653_8.4",-1,0.0166666666666667,1.77815125038364
