Date,Calories,Steps,Sleep Duration,Sleep Score,Number of Interruptions,Number of Toss and Turns,Interruption Duration,Resting Heart Rate,Bike Calories,Bike Duration,Run Calories,Run Duration,Run Steps,Walk Calories,Walk Duration,Walk Steps
2015-07-31,2252.3,5429,195,28,0,9,0,63,,,,,,92.7,12,1152
2015-08-01,2898.4,15318,455,93,2,47,7,58,90.2,16,552.4,41,6796,376.2,47,4575
2015-08-02,2332.8,8285,546,93,0,38,0,62,,,,,,470.7,57,5815
2015-08-03,2506.5,10844,324,62,0,23,0,63,,,320.3,23,3793,356.3,42,4286
2015-08-04,2317.5,5928,391,86,0,11,0,63,,,,,,234.1,28,2901
2015-08-05,2391.6,7885,508,89,1,50,1,76,34.5,6,,,,318.8,39,3985
2015-08-06,2465.3,7671,304,54,1,9,3,56,177.8,22,,,,281.5,36,3656
2015-08-07,2650.4,7946,341,66,1,18,1,59,223.6,29,,,,394.7,48,4846
2015-08-08,2554.2,10229,420,94,1,24,4,56,68.6,11,,,,513.8,76,6669
2015-08-09,2940.6,16900,413,89,2,25,7,60,65,12,560.3,41,6915,409.3,54,5338
2015-08-10,2863.4,8526,359,74,1,22,1,56,543.7,63,,,,367,46,4631
2015-08-11,2648.1,11546,351,72,0,22,0,62,9.2,4,,,,632.9,78,7816
2015-08-12,2549.1,6703,425,88,3,17,18,61,139.3,23,,,,284.3,35,3602
2015-08-13,2858.9,6552,293,53,0,16,0,56,362.7,50,,,,224.1,29,2804
2015-08-14,2268.2,4947,387,82,1,35,3,60,145.2,25,,,,151,20,1967
2015-08-15,2644,10144,452,88,3,28,5,63,,,185.1,13,2204,322.1,41,3923
2015-08-16,1980,4531,210,29,0,4,0,60,,,,,,186.6,25,2337
2015-08-17,2556.5,12112,269,45,1,20,1,56,,,,,,716.3,89,8966
2015-08-18,3218.6,14793,293,46,0,20,0,62,,,,,,280.8,37,3580
2015-08-19,3712.3,9915,341,59,0,9,0,58,,,,,,105.7,13,1253
2015-08-20,3873.7,10558,470,97,0,35,0,56,178,23,,,,395.2,51,4970
2015-08-21,2761.4,10511,444,89,1,22,11,67,213.8,33,48.4,4,602,390,53,4892
2015-08-22,2767.4,13046,440,87,2,36,6,62,,,,,,798.1,107,9524
2015-08-23,3174.4,18996,377,78,1,28,5,57,,,,,,994.1,130,12707
2015-08-24,2956,9423,489,93,1,36,6,56,612.7,73,,,,385.8,50,4939
2015-08-25,2325.5,4637,429,90,2,31,17,58,201.9,33,,,,104.6,13,1298
2015-08-26,2466.2,7377,,,,,,66,169.4,29,,,,370,46,4459
2015-08-27,1948.7,11906,358,71,1,30,5,78,,,575.6,44,7319,204.2,25,2512
2015-08-28,2465.7,8381,360,73,0,21,0,66,,,,,,425.6,56,5514
2015-08-29,4904.6,15824,487,94,2,30,9,57,,,,,,405.4,54,5192
2015-08-30,2593.3,12486,462,85,0,23,0,66,,,,,,639.2,86,7930
2015-08-31,2934.9,8129,469,89,4,50,25,58,690.2,74,,,,352.2,45,4247
2015-09-01,2416.3,6786,292,48,2,15,10,62,158.2,22,,,,309.7,39,3773
