"node","Class","true_name","Degree"
"exposome_genus_Basidioascus","Exposome (biological)","Basidioascus","8"
"exposome_genus_Botryosphaeria","Exposome (biological)","Botryosphaeria","18"
"exposome_genus_Corynespora","Exposome (biological)","Corynespora","18"
"exposome_genus_Enterobacter","Exposome (biological)","Enterobacter","18"
"exposome_genus_Flavihumibacter","Exposome (biological)","Flavihumibacter","8"
"exposome_genus_Macrocystidia","Exposome (biological)","Macrocystidia","10"
"exposome_genus_Macrostomum","Exposome (biological)","Macrostomum","8"
"exposome_genus_Nicotiana","Exposome (biological)","Nicotiana","10"
"phylum_Firmicutes","Gut microbiome","phylum_Firmicutes","10"
"class_Clostridia","Gut microbiome","class_Clostridia","10"
"class_Gammaproteobacteria","Gut microbiome","class_Gammaproteobacteria","10"
"order_Clostridiales","Gut microbiome","order_Clostridiales","10"
"order_Enterobacteriales","Gut microbiome","order_Enterobacteriales","10"
"family_Enterobacteriaceae","Gut microbiome","family_Enterobacteriaceae","10"
"genus_Coprococcus","Gut microbiome","Coprococcus","10"
"genus_Holdemania","Gut microbiome","Holdemania","10"
"phylum_Actinobacteria","Gut microbiome","phylum_Actinobacteria","5"
"class_Actinobacteria","Gut microbiome","class_Actinobacteria","5"
"class_Erysipelotrichia","Gut microbiome","class_Erysipelotrichia","5"
"order_Coriobacteriales","Gut microbiome","order_Coriobacteriales","5"
"order_Erysipelotrichales","Gut microbiome","order_Erysipelotrichales","5"
"family_Coriobacteriaceae","Gut microbiome","family_Coriobacteriaceae","5"
"family_Erysipelotrichaceae","Gut microbiome","family_Erysipelotrichaceae","5"
"genus_Lachnospiracea_incertae_sedis","Gut microbiome","Lachnospiracea_incertae_sedis","5"
"genus_Prevotella","Gut microbiome","Prevotella","5"
"genus_Ruminococcus","Gut microbiome","Ruminococcus","5"
