"node","Class","true_name","Degree"
"MCHC","Blood test","MCHC","13"
"Globulin","Blood test","Globulin","13"
"exposome_genus_Ascochyta","Exposome (biological)","Ascochyta","2"
"exposome_genus_Chitinophaga","Exposome (biological)","Chitinophaga","2"
"exposome_genus_Hirsutella","Exposome (biological)","Hirsutella","2"
"exposome_genus_Penstemon","Exposome (biological)","Penstemon","2"
"exposome_genus_Phoma","Exposome (biological)","Phoma","2"
"exposome_genus_Proteiniphilum","Exposome (biological)","Proteiniphilum","2"
"exposome_genus_Rosa","Exposome (biological)","Rosa","2"
