"from","to","Correlation","p_value","fdr"
"dNO2","HDL_Cholesterol",-1,0.0166666666666667,1.77815125038364
"dNO2","IL17A",1,0.0166666666666667,1.77815125038364
"dNO2","MCP3",1,0.0166666666666667,1.77815125038364
"dNO2","pHILIC_104.0705_8.1",1,0.0166666666666667,1.77815125038364
"dNO2","nHILIC_303.2327_1",-1,0.0166666666666667,1.77815125038364
"dNO2","nHILIC_230.0127_2.1",1,0.0166666666666667,1.77815125038364
"dNO2","nHILIC_281.089_2.2",1,0.0166666666666667,1.77815125038364
"dNO2","nHILIC_137.0243_1",-1,0.0166666666666667,1.77815125038364
"dNO2","pRPLC_302.2328_5.6",1,0.0166666666666667,1.77815125038364
"dNO2","pRPLC_505.2774_9.3",-1,0.0166666666666667,1.77815125038364
"dNO2","nRPLC_229.1445_7.4",-1,0.0166666666666667,1.77815125038364
"dNO2","nRPLC_165.0418_1.9",-1,0.0166666666666667,1.77815125038364
"dNO2","nRPLC_215.1653_8.4",1,0.0166666666666667,1.77815125038364
"dNO2","nRPLC_209.1184_8.2",1,0.0166666666666667,1.77815125038364
"dNO2","nRPLC_187.1339_7.1",1,0.0166666666666667,1.77815125038364
"dNO2","nRPLC_203.002_1.9",1,0.0166666666666667,1.77815125038364
"dNO2","KV315",-1,0.0166666666666667,1.77815125038364
"dNO2","FAM3C",1,0.0166666666666667,1.77815125038364
"dNO2","MAN2B2",1,0.0166666666666667,1.77815125038364
"dSO2","IL17A",0.948683298050514,0.0138468329888591,1.85864954593104
"dSO2","GROA",0.948683298050514,0.0138468329888591,1.85864954593104
"dSO2","MCP3",0.948683298050514,0.0138468329888591,1.85864954593104
"dSO2","pHILIC_104.0705_8.1",0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","pHILIC_146.1175_11",0.948683298050514,0.0138468329888591,1.55761955026706
"dSO2","pHILIC_276.1548_13.2",0.948683298050514,0.0138468329888591,1.85864954593104
"dSO2","nHILIC_303.2327_1",-0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","nHILIC_230.0127_2.1",0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","nHILIC_281.089_2.2",0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","nHILIC_349.0752_8.5",-0.948683298050514,0.0138468329888591,1.55761955026706
"dSO2","nHILIC_137.0243_1",-0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","pRPLC_302.2328_5.6",0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","pRPLC_505.2774_9.3",-0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","nRPLC_229.1445_7.4",-0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","nRPLC_165.0418_1.9",-0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","nRPLC_215.1653_8.4",0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","nRPLC_281.1394_9",0.948683298050514,0.0138468329888591,1.55761955026706
"dSO2","nRPLC_409.3322_11.2",-0.948683298050514,0.0138468329888591,1.55761955026706
"dSO2","nRPLC_209.1184_8.2",0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","nRPLC_187.1339_7.1",0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","nRPLC_411.127_3.6",0.948683298050514,0.0138468329888591,1.85864954593104
"dSO2","nRPLC_203.002_1.9",0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","LV144",-0.948683298050514,0.0138468329888591,1.55761955026706
"dSO2","APOC1",0.948683298050514,0.0138468329888591,1.55761955026706
"dSO2","KV315",-0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","MYH7",-0.948683298050514,0.0138468329888591,1.85864954593104
"dSO2","FAM3C",0.948683298050514,0.0138468329888591,1.77815125038364
"dSO2","SH3GL3",-0.948683298050514,0.0138468329888591,1.55761955026706
"dSO2","MAN2B2",0.948683298050514,0.0138468329888591,1.77815125038364
"exposome_genus_Actinidia","HDL_Cholesterol",0.974679434480896,0.00481823046819854,2.31711243043294
"exposome_genus_Hypsizygus","HDL_Cholesterol",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","IL17A",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","MCP3",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","pHILIC_137.0457_3.1",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","pHILIC_104.0705_8.1",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","pHILIC_146.1175_11",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_303.2327_1",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_230.0127_2.1",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_181.0367_6.8",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_132.0302_8.3",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_183.0294_2.1",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_281.089_2.2",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_165.0404_7.8",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_287.052_8.1",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_349.0752_8.5",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_275.0649_8.9",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_257.0777_2.2",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nHILIC_137.0243_1",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","pRPLC_195.0875_4.6",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","pRPLC_302.2328_5.6",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","pRPLC_505.2774_9.3",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_213.1497_8.1",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_229.1445_7.4",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_165.0418_1.9",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_169.1234_8",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_215.1653_8.4",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_281.1394_9",1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_409.3322_11.2",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_489.3582_11",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_507.3686_10.6",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_453.3221_10.1",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Hypsizygus","nRPLC_295.2278_9.9",1,0.0166666666666667,1.77815125038364
