"from","to","Correlation","p_value","fdr","from_class","from_name","to_class","to_name","from_num","to_num"
"genus_Rubrobacter","PAI1",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Rubrobacter","Cytokine","PAI1",5,7
"genus_Sarocladium","FASL",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","FASL",12,8
"genus_Sarocladium","IL27",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","IL27",12,8
"genus_Sarocladium","IL4",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","IL4",12,8
"genus_Sarocladium","IL5",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","IL5",12,8
"genus_Sarocladium","IL7",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","IL7",12,8
"genus_Sarocladium","IL8",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","IL8",12,7
"genus_Sarocladium","IFNB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","IFNB",12,8
"genus_Sarocladium","IL13",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","IL13",12,8
"genus_Sarocladium","IL31",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","IL31",12,8
"genus_Sarocladium","IFNG",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","IFNG",12,8
"genus_Sarocladium","GMCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","GMCSF",12,7
"genus_Sarocladium","GCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sarocladium","Cytokine","GCSF",12,8
"genus_Sediminibacterium","GROA",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sediminibacterium","Cytokine","GROA",1,4
"genus_Serpula","BDNF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Serpula","Cytokine","BDNF",1,4
"genus_Sistotremastrum","GROA",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Sistotremastrum","Cytokine","GROA",1,4
"genus_Sphingobacterium","SCF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sphingobacterium","Cytokine","SCF",2,7
"genus_Sphingobacterium","PAI1",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sphingobacterium","Cytokine","PAI1",2,7
"genus_Spirosoma","IL6",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Spirosoma","Cytokine","IL6",5,8
"genus_Spirosoma","NGF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Spirosoma","Cytokine","NGF",5,8
"genus_Spirosoma","IL12P40",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Spirosoma","Cytokine","IL12P40",5,8
"genus_Spirosoma","IL15",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Spirosoma","Cytokine","IL15",5,8
"genus_Spirosoma","ICAM1",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Spirosoma","Cytokine","ICAM1",5,8
"genus_Sporosarcina","IP10",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporosarcina","Cytokine","IP10",5,4
"genus_Sporosarcina","TGFB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporosarcina","Cytokine","TGFB",5,4
"genus_Sporosarcina","MIG",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporosarcina","Cytokine","MIG",5,4
"genus_Sporosarcina","IL21",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporosarcina","Cytokine","IL21",5,4
"genus_Sporosarcina","VCAM1",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporosarcina","Cytokine","VCAM1",5,4
"genus_Sporothrix","MIP1A",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","MIP1A",10,4
"genus_Sporothrix","IL10",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","IL10",10,4
"genus_Sporothrix","IL1RA",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","IL1RA",10,4
"genus_Sporothrix","RANTES",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","RANTES",10,4
"genus_Sporothrix","TNFA",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","TNFA",10,4
"genus_Sporothrix","MIP1B",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","MIP1B",10,4
"genus_Sporothrix","TRAIL",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","TRAIL",10,4
"genus_Sporothrix","IL18",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","IL18",10,4
"genus_Sporothrix","MCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","MCSF",10,4
"genus_Sporothrix","FGFB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Sporothrix","Cytokine","FGFB",10,4
"genus_Staphylococcus","IL8",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Staphylococcus","Cytokine","IL8",2,7
"genus_Staphylococcus","GMCSF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Staphylococcus","Cytokine","GMCSF",2,7
"genus_Stereum","LIF",-1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Stereum","Cytokine","LIF",1,7
"genus_Talaromyces","IL6",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Talaromyces","Cytokine","IL6",5,8
"genus_Talaromyces","NGF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Talaromyces","Cytokine","NGF",5,8
"genus_Talaromyces","IL12P40",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Talaromyces","Cytokine","IL12P40",5,8
"genus_Talaromyces","IL15",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Talaromyces","Cytokine","IL15",5,8
"genus_Talaromyces","ICAM1",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Talaromyces","Cytokine","ICAM1",5,8
"genus_Taphrina","IL2",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Taphrina","Cytokine","IL2",2,15
"genus_Taphrina","MCP1",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Taphrina","Cytokine","MCP1",2,15
"genus_Tarenaya","BDNF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Tarenaya","Cytokine","BDNF",1,4
"genus_Terrimonas","TGFB",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Terrimonas","Cytokine","TGFB",3,4
