"name","mz","rt"
"nHILIC_181.0506_6.2",181.0506,10
"nHILIC_581.2411_5.9",581.2411,12
"nHILIC_269.0542_5.9",269.0542,90
"nHILIC_89.0243_5.8",89.0243,90
"nHILIC_504.3095_5.8",504.3095,43
"nHILIC_149.0455_5.6",149.0455,90
"nHILIC_103.0399_5.4",103.0399,30
"nHILIC_835.537_5.2",835.537,55
"nHILIC_146.0276_5.1",146.0276,60
"nHILIC_144.0666_5.1",144.0666,40
"nHILIC_183.0774_5",183.0774,30
"nHILIC_716.5258_4.7",716.5258,65
"nHILIC_194.0458_4.6",194.0458,40
"nHILIC_700.5312_4.5",700.5312,5
"nHILIC_738.511_4.5",738.511,85
"nHILIC_163.0612_4.5",163.0612,30
"nHILIC_777.5678_4.3",777.5678,75
"nHILIC_103.0036_4",103.0036,30
"nHILIC_485.1492_3.9",485.1492,51
"nHILIC_381.1387_3.9",381.1387,11
"nHILIC_174.056_3.8",174.056,40
"nHILIC_181.0717_3.5",181.0717,10
"nHILIC_345.0942_3.3",345.0942,50
"nHILIC_361.1254_3.3",361.1254,11
"nHILIC_133.0506_2.3",133.0506,30
"nHILIC_179.0348_2.2",179.0348,90
"nHILIC_257.0777_2.2",257.0777,70
"nHILIC_459.3476_1.8",459.3476,93
"nHILIC_163.04_1.4",163.04,30
"nHILIC_197.0679_1.4",197.0679,70
"nHILIC_204.9811_1.1",204.9811,49
"nHILIC_137.0243_1",137.0243,70
"nHILIC_157.0869_1",157.0869,70
