"name","mz","rt"
"nRPLC_311.2957_11.4",311.2957,12
"nRPLC_433.3322_11.4",433.3322,33
"nRPLC_359.2957_11.5",359.2957,92
"nRPLC_397.3686_11.5",397.3686,73
"nRPLC_449.364_11.6",449.364,93
"nRPLC_335.2957_11.7",335.2957,52
"nRPLC_597.3048_11.9",597.3048,73
"nRPLC_297.2799_11.7",297.2799,72
"nRPLC_561.4141_11.5",561.4141,14
"nRPLC_309.2801_11.4",309.2801,92
"nRPLC_415.3217_11.4",415.3217,53
"nRPLC_333.2799_11.2",333.2799,32
"nRPLC_433.3322_11.2",433.3322,33
"nRPLC_441.395_11.2",441.395,13
"nRPLC_409.3322_11.2",409.3322,93
"nRPLC_297.2797_11.2",297.2797,72
"nRPLC_439.3792_11.1",439.3792,93
"nRPLC_307.2644_11",307.2644,72
"nRPLC_455.2472_11",455.2472,52
"nRPLC_269.2487_11",269.2487,92
"nRPLC_723.5955_11",723.5955,35
"nRPLC_355.2852_11",355.2852,52
"nRPLC_489.3582_11",489.3582,93
"nRPLC_443.3164_11",443.3164,33
"nRPLC_331.2644_10.9",331.2644,12
"nRPLC_355.2643_10.9",355.2643,52
"nRPLC_415.3217_10.9",415.3217,53
"nRPLC_431.3164_10.9",431.3164,13
"nRPLC_439.3427_10.9",439.3427,93
"nRPLC_585.486_10.8",585.486,54
"nRPLC_385.332_10.8",385.332,53
"nRPLC_417.3009_10.8",417.3009,73
"nRPLC_305.2486_10.7",305.2486,52
"nRPLC_461.3269_10.7",461.3269,13
"nRPLC_507.3686_10.6",507.3686,73
"nRPLC_508.3404_10.6",508.3404,83
"nRPLC_489.3582_10.6",489.3582,93
"nRPLC_609.5098_10.5",609.5098,95
"nRPLC_327.2538_10.5",327.2538,72
"nRPLC_433.3323_10.5",433.3323,33
"nRPLC_312.2546_10.4",312.2546,22
"nRPLC_323.2592_10.4",323.2592,32
"nRPLC_511.3039_10.3",511.3039,13
"nRPLC_429.3008_10.3",429.3008,93
"nRPLC_351.254_10.3",351.254,12
"nRPLC_498.2892_10.3",498.2892,82
"nRPLC_271.228_10.3",271.228,12
"nRPLC_375.254_10.2",375.254,52
"nRPLC_431.3166_10.2",431.3166,13
"nRPLC_227.2017_10.2",227.2017,72
"nRPLC_287.2227_10.2",287.2227,72
"nRPLC_239.2016_10.1",239.2016,92
"nRPLC_453.3221_10.1",453.3221,33
"nRPLC_480.3097_10",480.3097,3
"nRPLC_275.2017_10",275.2017,52
"nRPLC_319.2278_10",319.2278,92
"nRPLC_297.2436_10",297.2436,72
"nRPLC_526.2939_9.9",526.2939,62
"nRPLC_299.2227_9.9",299.2227,92
"nRPLC_257.2122_9.9",257.2122,72
"nRPLC_295.2278_9.9",295.2278,52
"nRPLC_453.3223_9.8",453.3223,33
"nRPLC_249.1859_9.8",249.1859,91
"nRPLC_315.2539_9.7",315.2539,52
"nRPLC_283.1088_9.6",283.1088,31
"nRPLC_269.2122_9.6",269.2122,92
"nRPLC_397.2054_9.6",397.2054,72
"nRPLC_299.2228_9.6",299.2228,92
"nRPLC_293.2123_9.6",293.2123,32
"nRPLC_199.1704_9.5",199.1704,91
"nRPLC_450.2624_9.5",450.2624,2
"nRPLC_315.2541_9.4",315.2541,52
"nRPLC_448.3069_9.4",448.3069,83
"nRPLC_223.1704_9.4",223.1704,31
"nRPLC_293.2122_9.4",293.2122,32
"nRPLC_243.1965_9.3",243.1965,31
"nRPLC_269.2122_9.3",269.2122,92
"nRPLC_285.2071_9.2",285.2071,52
"nRPLC_267.1966_9.2",267.1966,71
"nRPLC_567.3177_9.2",567.3177,73
"nRPLC_197.1547_9.1",197.1547,71
"nRPLC_313.2386_9.1",313.2386,32
"nRPLC_371.1887_9.1",371.1887,11
"nRPLC_487.3428_9.1",487.3428,73
"nRPLC_565.3015_9",565.3015,53
"nRPLC_507.2231_9",507.2231,72
"nRPLC_241.181_9",241.181,11
"nRPLC_197.1547_9",197.1547,71
"nRPLC_369.1729_8.9",369.1729,91
"nRPLC_514.2853_8.8",514.2853,42
"nRPLC_432.1927_8.8",432.1927,21
"nRPLC_467.2649_8.8",467.2649,72
"nRPLC_464.3015_8.8",464.3015,43
"nRPLC_539.2489_8.8",539.2489,92
"nRPLC_367.1582_8.7",367.1582,71
"nRPLC_239.1653_8.5",239.1653,91
"nRPLC_183.139_8.5",183.139,31
"nRPLC_467.2636_8.4",467.2636,72
"nRPLC_297.1343_8.3",297.1343,71
"nRPLC_267.1238_8.3",267.1238,71
"nRPLC_465.249_8.3",465.249,52
"nRPLC_209.1184_8.2",209.1184,91
"nRPLC_255.1603_8.1",255.1603,51
"nRPLC_215.1652_8.1",215.1652,51
"nRPLC_213.1498_7.8",213.1498,31
"nRPLC_199.1703_7.7",199.1703,91
"nRPLC_241.1447_7.7",241.1447,11
"nRPLC_383.1535_7.6",383.1535,31
"nRPLC_163.0765_7.4",163.0765,30
"nRPLC_541.2652_7.4",541.2652,12
"nRPLC_297.1344_7.3",297.1344,71
"nRPLC_165.092_7.2",165.092,50
"nRPLC_239.0924_7.1",239.0924,90
"nRPLC_187.1339_7.1",187.1339,71
"nRPLC_227.1288_7.1",227.1288,71
"nRPLC_527.2129_7.1",527.2129,72
"nRPLC_481.244_7.1",481.244,12
"nRPLC_541.2651_7",541.2651,12
"nRPLC_539.2494_7",539.2494,92
"nRPLC_165.092_7",165.092,50
"nRPLC_577.255_7",577.255,72
"nRPLC_227.1289_6.9",227.1289,71
"nRPLC_541.2652_6.8",541.2652,12
"nRPLC_209.1183_6.5",209.1183,91
