"node","Class","true_name","Degree"
"exposome_genus_Ascocoryne","Exposome (biological)","Ascocoryne","9"
"exposome_genus_Filobasidium","Exposome (biological)","Filobasidium","7"
"exposome_genus_Fistulina","Exposome (biological)","Fistulina","6"
"exposome_genus_Lymnaea","Exposome (biological)","Lymnaea","6"
"exposome_genus_Scleroderma","Exposome (biological)","Scleroderma","6"
"phylum_Bacteroidetes","Gut microbiome","phylum_Bacteroidetes","6"
"class_Bacteroidia","Gut microbiome","class_Bacteroidia","6"
"order_Bacteroidales","Gut microbiome","order_Bacteroidales","6"
"family_Bacteroidaceae","Gut microbiome","family_Bacteroidaceae","6"
"genus_Bacteroides","Gut microbiome","Bacteroides","6"
"genus_unclassified_Clostridiales_Incertae.Sedis.XIII","Gut microbiome","unclassified_Clostridiales_Incertae.Sedis.XIII","6"
